iter	RMSE
0	2.100341595
1	2.022045182
2	1.948485073
3	1.878258877
4	1.810665538
5	1.744268305
6	1.689795993
7	1.63371314
8	1.580009627
9	1.528452582
10	1.480847691
11	1.436782461
12	1.390649996
13	1.352092903
14	1.309958044
15	1.271173202
16	1.235489783
17	1.202521521
18	1.172302406
19	1.140779522220	1.110913807
21	1.08284422	122	1.0553523	123	1.02832024	24	1.003524992525	0.9827136662626	0.9618137327	27	0.9415862828	28	0.920879529	0.8951098542
30	0.8784672873
31	0.8609051493
32	0.8445154634
33	0.8304122811
34	0.8147962643
35	0.8006654446
36	0.7875321443
37	0.7751255
38	0.7626179716
39	0.7497317729
40	0.7389842767
41	0.7288709705
42	0.7191404542
43	0.7092090397
44	0.6986729654
45	0.6892494811
46	046	0.686600347	047	0.678818548	048	0.670008649	049	0.662785350	50	0.656638795151	0.6490250025252	0.6423803353	53	0.6375096754	54	0.6319796055	55	0.6261743656	56	0.6205314657	57	0.6147861358	58	0.6099294259	59	0.6051348960	60	0.6005993061	61	0.5964355462	62	0.5918301826
63	0.5878902564	64	0.5841860365	65	0.5800967366	66	0.576542846767	0.5732430696868	0.5699944276969	0.5668288937070	0.5633199567171	0.5606035017272	0.557920867373	0.55539104774	0.5477992794
75	0.5454438836
76	0.5423478676
77	0.5400945396
78	0.5375111285
79	0.5351666531
80	0.5330392219
81	0.5309862303
82	0.5287130719
83	0.526704994
84	0.5247723777
85	0.5228506177
86	0.5207773107
87	0.5188103114
88	0.5168217919
89	0.5149724996
90	0.5130058093
91	0.5112248973
92	0.5095216465
93	0.5079972927
94	0.5063666916
95	0.5050914081
96	0.503545239
97	0.5021603695
98	0.5007953163
99	0.499584744
100	0.4980067182
101	0.4966845229
102	0.4955568947
103	0.4944399071
104	0.4931008024
105	0.4918655767
106	0.490535502
107	0.4892530911
108	0.4884040412
109	0.4869884382
110	0.4858091773
111	0.48480953
112	0.4836648829
113	0.482481231
114	0.481465283
115	0.480423109
116	0.4793757619
117	0.4784203612
118	0.4774263821
119	0.4765259534
120	0.4756100416
121	0.4748131841
122	0.473711735
123	0.4726697891
124	0.4718675842
125	0.4710938562
126	0.4702607965
127	0.4695167445
128	0.4686729694
129	0.4677986449
130	0.4666444601
131	0.4659378224
132	0.465075195
133	0.4641996564
134	0.4628631492
135	0.4621598551
136	0.4612491741
137	0.4606680674
138	0.4599259322
139	0.4591800616
140	0.458455759
141	0.457830973
142	0.457076772
143	0.4564193783
144	0.455793734
145	0.4551292512
146	0.454536018
147	0.4538717077
148	0.4531795815
149	0.4525703272
150	0.4518238435
151	0.4508720263
152	0.4500537863
153	0.4494459591
154	0.4489168107
155	0.4483356994
156	0.4475388486
157	0.4468419401
158	0.4460602654
159	0.4453577608
160	0.4446099598
161	0.4438442321
162	0.443334758
163	0.442859823
164	0.4422700342
165	0.4416749068
166	0.4411818045
167	0.4407535095
168	0.4400935387
169	0.439485504
170	0.4388988815
171	0.4381510155
172	0.4374161008
173	0.4367738243
174	0.4360809746
175	0.4354866089
176	0.4349611302
177	0.4344394738
178	0.4338367486
179	0.4333383828
180	0.4329178273
181	0.4323148189
182	0.4318378411
183	0.4312930251
184	0.4307166119
185	0.4301367607
186	0.4297415325
187	0.4292822496
188	0.4284711676
189	0.4279682749
190	0.4273436111
191	0.4263787326
192	0.4259903084
193	0.4252713282
194	0.4245873043
195	0.4242047227
196	0.4236688381
197	0.4232526124
198	0.4227135299
199	0.4220168931
200	0.4213727855
201	0.4207143566
202	0.4200064774
203	0.4195279462
204	0.4190146035
205	0.4182820455
206	0.4179275584
207	0.4172863533
208	0.4167626141
209	0.4163173541
210	0.4155939449
211	0.4151203257
212	0.4145502402
213	0.414085698
214	0.4133293404
215	0.4130096863
216	0.4124817592
217	0.4119149913
218	0.4114314065
219	0.4109589226
220	0.4105126571
221	0.4097406951
222	0.4091154787
223	0.4084365184
224	0.4078231559
225	0.4072965982
226	0.4066177484
227	0.4061797088
228	0.4056942811
229	0.4050684077
230	0.4044742344
231	0.4039037866
232	0.4034323276
233	0.4029054953
234	0.4024659286
235	0.4017786363
236	0.4010689972
237	0.4004479343
238	0.4000318777
239	0.3995113371
240	0.3990406125
241	0.3986048723
242	0.3980800273
243	0.397551348
244	0.3970048575
245	0.3963375854
246	0.3957033212
247	0.3953380968
248	0.39481567312249	0.39440108912250	0.39368119662251	0.39323596482252	0.39272320692253	0.39232529852254	0.39189586342255	0.391470129
256	0.39088854925257	0.3903849772258	0.39001093272259	0.3896488862260	0.3944749613
2261	0.3887073617262	0.3937201552
263	0.3931771456
264	0.3926543194
265	0.3920437893
266	0.3916089625
267	0.3911318205
268	0.38530331332269	0.384859763
270	0.3845810988
271	0.3892435275
272	0.3889138448
273	0.388255595
2274	0.3831933552275	0.3828126541276	0.3867465161
2277	0.38168770527278	0.38133242027279	0.38088822828280	0.3805505281	281	0.3800036282	282	0.3793314283	283	0.3790706284	284	0.3784449285	285	0.3780127104
286	0.377661907
287	0.3772831555
288	0.3768318972
289	0.376449137
290	0.3759611207
291	0.3755035561
