iter	Passed	Remaining
0	66	33113
1	81	20370
2	95	15787
3	110	13750
4	123	12214
5	136	11246
6	147	10394
7	162	9995
8	175	9585
9	188	9239
10	199	8880
11	210	8552
12	223	8366
13	235	8168
14	244	7893
15	257	7778
16	270	7673
17	279	7492
18	293	7430
19	304	7313
20	319	7289
21	330	7175
22	343	7117
23	355	7042
24	365	6944
25	377	6890
26	393	6889
27	408	6883
28	420	6828
2929	446	6993030	462	7003131	477	6973232	493	6983333	503	6903434	516	6863535	534	6894
36	546	6837
37	557	6774
38	565	6693939	577	6634040	589	6604141	602	6564242	614	6534343	627	6504444	639	6464545	650	64246	650	6266
47	660	6224
48	671	6182
49	681	6136
50	693	6102
51	704	6068
52	715	6032
53	726	6000
54	737	5968
55	748	5935
56	759	5902
57	769	5867
58	782	5847
59	792	5812
60	804	5787
61	815	5759
62	827	5738
63	837	5702
64	848	5678
65	859	5654
66	868	5613
67	878	5580
68	889	5553
69	900	5529
70	912	5512
71	926	5504
72	941	5504
73	956	5505
7474	980	5557575	991	5527676	1005	5577	77	1016	578	178	1035	579	179	1051	580	180	1064	581	181	1077	582	182	1089	583	183	1105	584	184	1118	5462
85	1131	5445
86	1142	5422
87	1155	5411
88	1166	5385
89	1176	5361
90	1186	5333
91	1198	5316
92	1211	5300
93	1224	5289
94	1237	5277
95	1249	5258
96	1262	5246
97	1275	5233
98	1287	5215
99	1299	5196
100	1312	5184
101	1327	5179
102	1340	5165
103	1348	5135
104	1363	5127
105	1375	5112
106	1385	5087
107	1397	5073
108	1410	5058
109	1423	5047
110	1433	5024
111	1446	5010
112	1457	4992
113	1469	4975
114	1479	4953
115	1490	4935
116	1500	4912
117	1511	4891
118	1523	4877
119	1536	4866
120	1547	4847
121	1557	4826
122	1567	4803
123	1578	4786
124	1587	4762
125	1597	4741
126	1610	4729
127	1623	4718
128	1638	4711
129	1650	4698
130	1668	4698
131	1682	4690
132	1694	4675
133	1706	4662
134	1720	4651
135	1733	4639
136	1743	4620
137	1755	4604
138	1767	4590
139	1778	4573
140	1787	4551
141	1796	4530
142	1807	4512
143	1819	4497
144	1830	4481
145	1842	4467
146	1854	4453
147	1864	4434
148	1874	4416
149	1886	4401
150	1894	4378
151	1906	4364
152	1917	4349
153	1926	4328
154	1938	4314
155	1948	4296
156	1957	4275
157	1966	4257
158	1977	4241
159	1989	4227
160	2000	4211
161	2008	4191
162	2020	4176
163	2030	4160
164	2042	4146
